objectid,ccg18cd,ccg18nm,bng_e,bng_n,long,lat,st_areashape,st_lengthshape
170,E38000200,NHS West Lancashire CCG,342611,413268,-2.8689301,53.61280823,346135511.31084,132422.020814605
171,E38000201,NHS West Leicestershire CCG,447443,309936,-1.29960001,52.68505859,878397774.15784,183297.395555288
172,E38000202,NHS West London CCG,525757,179589,-0.18956999,51.50125122,15387511.4250593,22564.4147396574
173,E38000203,NHS West Norfolk CCG,575838,315709,0.60149503,52.71049118,1929062637.58326,409705.002447115
178,E38000210,NHS Wolverhampton CCG,391463,300016,-2.12746,52.59788132,69311932.1357458,46564.3898771142
179,E38000211,NHS Wyre Forest CCG,384106,276388,-2.23494005,52.38529968,195262738.218109,88275.8766737664
174,E38000204,NHS West Suffolk CCG,582155,264019,0.66667801,52.24422073,1223158839.94762,322624.484373326
175,E38000205,NHS Wigan Borough CCG,362134,402124,-2.57249999,53.514431,187792911.426328,76778.7986979435
176,E38000206,NHS Wiltshire CCG,405209,158863,-1.92660999,51.32883072,3256710283.81626,367334.900972617
180,E38000212,NHS Newcastle Gateshead CCG,420165,559658,-1.68684995,54.93119812,255379229.374624,139741.031039931
181,E38000213,NHS Coastal West Sussex CCG,498453,116051,-0.60022998,50.9355011,1366088632.99043,257088.014314787
182,E38000214,NHS Guildford and Waverley CCG,498354,143369,-0.59421998,51.18109131,537289166.654141,137047.688716992
183,E38000215,NHS North Cumbria CCG,341246,537603,-2.9138701,54.7299614,5041373229.06184,568229.86712915
184,E38000217,NHS Manchester CCG,384592,397068,-2.23358011,53.47013092,115473630.651624,74118.6202143885
185,E38000218,NHS Norwich CCG,620228,310616,1.25415897,52.64855957,93954067.3602614,60083.1612133836
186,E38000219,NHS South Norfolk CCG,612748,302689,1.13867199,52.58039093,1693590692.0539,300537.789066631
187,E38000220,NHS Birmingham and Solihull CCG,412791,287491,-1.81306005,52.48519897,412587427.751029,142999.447226724
188,E38000221,NHS Berkshire West CCG,457803,172197,-1.16963005,51.44581985,923316387.007781,205176.865988234
189,E38000222,"NHS Bristol, North Somerset and South Gloucestershire CCG",366745,176368,-2.48030996,51.48527145,981661113.136824,228072.092164831
190,E38000223,NHS Buckinghamshire CCG,482506,205421,-0.80644,51.74142838,1560121455.99577,328308.995168764
191,E38000224,NHS East Berkshire CCG,491795,173620,-0.68026,51.45412827,348014948.34222,122039.480558054
192,E38000225,NHS Leeds CCG,432527,436385,-1.50737,53.82273865,552036106.213326,142971.155155623
193,E38000226,NHS Fylde and Wyre CCG,345943,440271,-2.82329988,53.85585022,461631735.792231,210326.933721985
194,E38000227,NHS Greater Preston CCG,358317,435004,-2.63448,53.80965042,369049512.925952,188793.676292723
195,E38000228,NHS Morecambe Bay CCG,362268,479660,-2.58003998,54.21128082,2490508613.04289,569667.439566034
